hotel_id,hotel_name,location,hotel_type,price_per_night,rating,num_reviews,amenities,amenity_count,user_budget,user_pref_loc,user_pref_type,recommended,location_enc,hotel_type_enc,user_pref_loc_enc,user_pref_type_enc
1,Hotel_0001,Delhi,Budget,2122.0,4.5,1413.0,"Parking,Concierge,WiFi,Bar",4,7031.0,Bangalore,Resort,1,3,1,1,4
2,Hotel_0002,Chennai,Resort,19421.0,3.3,1255.0,"Gym,Bar",2,2602.0,Hyderabad,Resort,0,2,4,5,4
3,Hotel_0003,Mumbai,Resort,23808.0,1.9,1311.0,"Concierge,Pool,Restaurant,Room Service",4,1512.0,Hyderabad,Mid-range,0,8,4,5,3
4,Hotel_0004,Hyderabad,Luxury,19448.0,2.6,721.0,"Pool,Bar",2,14363.0,Mumbai,Luxury,0,5,2,8,2
5,Hotel_0005,Delhi,Luxury,15868.0,4.8,1778.0,"Spa,Gym,Concierge,Beach Access,WiFi",5,16334.0,Bangalore,Luxury,1,3,2,1,2
6,Hotel_0006,Agra,Boutique,5596.0,3.5,146.0,"Concierge,Gym",2,12220.0,Udaipur,Luxury,0,0,0,9,2
7,Hotel_0007,Udaipur,Budget,1818.0,3.3,223.0,"Concierge,Spa,Restaurant,Bar,Parking,Gym",6,13398.0,Goa,Luxury,0,9,1,4,2
8,Hotel_0008,Udaipur,Resort,15226.0,4.9,1713.0,"Room Service,WiFi",2,2981.0,Jaipur,Mid-range,0,9,4,6,3
9,Hotel_0009,Goa,Mid-range,4701.0,4.7,146.0,"Restaurant,Spa,Room Service,WiFi",4,10830.0,Mumbai,Budget,1,4,3,8,1
10,Hotel_0010,Hyderabad,Budget,2180.0,3.8,391.0,"Spa,WiFi",2,11490.0,Kolkata,Budget,0,5,1,7,1
11,Hotel_0011,Delhi,Luxury,11170.0,3.6,354.0,"WiFi,Concierge,Gym,Bar,Parking",5,4084.0,Mumbai,Budget,0,3,2,8,1
12,Hotel_0012,Bangalore,Boutique,6540.0,3.8,75.0,"Room Service,Spa,Concierge",3,13888.0,Bangalore,Boutique,0,1,0,1,0
13,Hotel_0013,Delhi,Resort,8775.0,4.0,242.0,"Bar,Restaurant,Pool,Beach Access",4,7032.0,Jaipur,Budget,1,3,4,6,1
14,Hotel_0014,Mumbai,Resort,20521.0,4.9,1149.0,"Restaurant,Parking,Pool",3,4753.0,Hyderabad,Boutique,0,8,4,5,0
15,Hotel_0015,Goa,Resort,16327.0,4.1,1325.0,"Pool,WiFi,Parking,Gym,Room Service,Beach Access",6,12983.0,Jaipur,Boutique,0,4,4,6,0
16,Hotel_0016,Chennai,Resort,15815.0,4.3,175.0,"Spa,Bar,Restaurant,Beach Access",4,8676.0,Agra,Mid-range,0,2,4,0,3
17,Hotel_0017,Udaipur,Luxury,13454.0,4.6,1885.0,"Bar,WiFi,Beach Access",3,10344.0,Chennai,Luxury,0,9,2,2,2
18,Hotel_0018,Mumbai,Budget,1166.0,3.0,200.0,"Room Service,Spa,Restaurant,Beach Access,Parking",5,10451.0,Bangalore,Mid-range,0,8,1,1,3
19,Hotel_0019,Jaipur,Boutique,7185.0,4.3,1377.0,"Gym,Bar",2,11773.0,Delhi,Mid-range,0,6,0,3,3
20,Hotel_0020,Hyderabad,Luxury,16432.0,3.6,1602.0,"Room Service,Restaurant,Gym,Beach Access,WiFi",5,8317.0,Hyderabad,Mid-range,0,5,2,5,3
